                 Time	               V(DAC)	               V(VIN)
         0.0017400095	    0.726702272891998	     1.00196957588196
  0.00174001000000001	    0.738397896289825	     1.00196933746338
  0.00174001100005419	     0.78184312582016	     1.00196897983551
         0.0017400119	    0.857455193996429	     1.00196862220764
         0.0017400122	    0.894496083259583	     1.00196850299835
         0.0017400123	    0.908299684524536	     1.00196838378906
          0.001740013	      1.0263215303421	     1.00196814537048
         0.0017400131	     1.04649233818054	     1.00196814537048
         0.0017400132	      1.0674797296524	     1.00196802616119
         0.0017400135	     1.13494372367859	      1.0019679069519
         0.0017400137	     1.16070020198822	      1.0019679069519
         0.0017400138	     1.16693913936615	     1.00196778774261
   0.0017400142039146	     1.16127669811249	     1.00196766853333
         0.0017400145	     1.13951635360718	     1.00196754932404
         0.0017400146	     1.13119328022003	     1.00196754932404
         0.0017400149	     1.11157560348511	     1.00196743011475
          0.001740015	     1.10723662376404	     1.00196731090546
         0.0017400151	     1.09946322441101	     1.00196731090546
         0.0017400153	     1.07585322856903	     1.00196719169617
         0.0017400154	     1.06115996837616	     1.00196719169617
         0.0017400155	     1.04686212539673	     1.00196719169617
  0.00174001598633665	    0.995788037776947	     1.00196695327759
  0.00174001640496615	    0.967756867408752	      1.0019668340683
   0.0017400167837816	     0.95030814409256	     1.00196671485901
  0.00174001733093362	    0.941283166408539	     1.00196647644043
  0.00174001762448649	    0.938066124916077	     1.00196635723114
  0.00174001802397731	    0.937358200550079	     1.00196611881256
  0.00174001844954516	    0.937381327152252	     1.00196599960327
   0.0017400188961609	    0.937433242797852	     1.00196588039398
  0.00174001969234857	    0.937475621700287	     1.00196552276611
  0.00174002052159819	    0.937480390071869	     1.00196516513824
  0.00174002182544979	     0.93747478723526	     1.00196468830109
    0.001740024433153	    0.937472701072693	     1.00196361541748
  0.00174002964855942	    0.937473773956299	     1.00196158885956
  0.00174004007937226	     0.93747478723526	     1.00195753574371
  0.00174006094099793	    0.937472283840179	     1.00194931030273
