                 Time	               V(VIN)	              V(VOUT)
9.00050000000965e-006	       2.062344789505	    0.100000001490116
9.00150005419027e-006	     2.06488752365112	    0.300010830163956
9.00350016255152e-006	     2.06997680664062	    0.700032532215118
  9.007500379274e-006	     2.08016920089722	     1.50007581710815
9.01550081271898e-006	     2.10060930252075	                    2
9.03150167960893e-006	      2.1417088508606	                    2
9.06350341338884e-006	     2.22477054595947	                    2
9.12750688094866e-006	     2.39422535896301	                    2
9.25551381606829e-006	     2.74549531936646	                    2
9.51152768630754e-006	     3.48939800262451	                    2
9.91154637832414e-006	     4.72225761413574	                    2
               1e-005	                    5	                    2
1.00005000000097e-005	     5.00157070159912	     2.15000009536743
1.00015000541903e-005	     5.00471258163452	     2.45001626014709
1.00035001625515e-005	     5.01099586486816	       3.050048828125
 1.0007500379274e-005	     5.02356290817261	     4.25011396408081
 1.0015500812719e-005	     5.04869651794434	                    5
1.00315016796089e-005	     5.09895896911621	                    5
1.00635034133888e-005	     5.19944906234741	                    5
1.01275068809487e-005	       5.400146484375	                    5
1.02555138160683e-005	     5.79927635192871	                    5
1.05115276863075e-005	     6.57948684692383	                    5
1.09115463783241e-005	      7.7096905708313	                    5
             1.1e-005	     7.93892621994019	                    5
1.10005000000096e-005	      7.9401969909668	     5.15000009536743
1.10015000541903e-005	      7.9427375793457	     5.45001602172851
1.10035001625515e-005	     7.94781494140625	       6.050048828125
 1.1007500379274e-005	     7.95795631408691	     7.25011396408081
 1.1015500812719e-005	     7.97818326950073	                    8
1.10315016796089e-005	     8.01840972900391	                    8
1.10635034133888e-005	     8.09794425964355	                    8
1.11275068809487e-005	     8.25322532653809	                    8
1.12555138160683e-005	     8.54776096343994	                    8
1.15115276863075e-005	     9.06626510620117	                    8
1.19115463783241e-005	     9.66211318969727	                    8
             1.2e-005	     9.75528240203857	                    8
1.20005000000096e-005	     9.75576782226563	     8.10000038146973
1.20015000541903e-005	     9.75673675537109	     8.30001068115234
1.20035001625515e-005	     9.75866889953613	     8.70003223419189
 1.2007500379274e-005	     9.76251125335693	     9.50007629394531
 1.2015500812719e-005	     9.77010536193848	                   10
1.20315016796089e-005	     9.78493118286133	                   10
1.20635034133888e-005	     9.81313133239746	                   10
1.21275068809487e-005	     9.86368179321289	                   10
1.22555138160683e-005	     9.94112205505371	                   10
1.25115276863075e-005	     9.99986839294434	                   10
1.29115463783241e-005	     9.83376789093018	                   10
             1.3e-005	     9.75528240203857	                   10
1.30005000000097e-005	     9.75479698181152	                   10
1.30015000541903e-005	     9.75382423400879	                   10
1.30035001625515e-005	     9.75187301635742	                   10
 1.3007500379274e-005	     9.74794864654541	                   10
 1.3015500812719e-005	     9.74000930786133	                   10
1.30315016796089e-005	     9.72377109527588	                   10
1.30635034133888e-005	     9.68986511230469	                   10
1.31275068809487e-005	     9.61637783050537	                   10
1.32555138160683e-005	     9.44714164733887	                   10
1.35115276863075e-005	     9.02369213104248	                   10
1.39115463783241e-005	     8.15908718109131	                   10
             1.4e-005	     7.93892621994019	                   10
1.40005000000096e-005	     7.93765544891357	     9.89999961853027
1.40015000541903e-005	     7.93511247634888	     9.69998931884765
1.40035001625515e-005	     7.93002319335937	      9.2999677658081
 1.4007500379274e-005	     7.91983079910278	     8.49992370605469
 1.4015500812719e-005	     7.89939069747925	                    8
1.40315016796089e-005	      7.8582911491394	                    8
1.40635034133888e-005	     7.77522945404053	                    8
1.41275068809487e-005	     7.60577440261841	                    8
1.42555138160683e-005	     7.25450468063354	                    8
1.45115276863075e-005	     6.51060199737549	                    8
1.49115463783241e-005	     5.27774238586426	                    8
             1.5e-005	                    5	                    8
1.50005000000096e-005	     4.99842929840088	     7.84999990463257
1.50015000541903e-005	     4.99528741836548	     7.54998397827148
1.50035001625515e-005	     4.98900413513184	       6.949951171875
 1.5007500379274e-005	     4.97643709182739	     5.74988603591919
 1.5015500812719e-005	     4.95130348205566	                    5
1.50315016796089e-005	     4.90104103088379	                    5
1.50635034133888e-005	     4.80055093765259	                    5
1.51275068809487e-005	       4.599853515625	                    5
1.52555138160683e-005	     4.20072364807129	                    5
1.55115276863075e-005	     3.42051315307617	                    5
1.59115463783241e-005	     2.29030966758728	                    5
             1.6e-005	     2.06107378005981	                    5
1.60005000000097e-005	      2.0598030090332	     4.84999990463257
1.60015000541903e-005	      2.0572624206543	     4.54998397827148
1.60035001625515e-005	     2.05218482017517	       3.949951171875
 1.6007500379274e-005	     2.04204344749451	     2.74988627433777
 1.6015500812719e-005	     2.02181696891785	                    2
1.60315016796089e-005	     1.98158991336823	                    2
1.60635034133888e-005	     1.90205526351929	                    2
1.61275068809487e-005	     1.74677515029907	                    2
1.62555138160683e-005	     1.45223867893219	                    2
1.65115276863075e-005	    0.933734476566315	                    2
1.69115463783241e-005	    0.337886661291122	                    2
             1.7e-005	    0.244717419147491	                    2
1.70005000000097e-005	    0.244232252240181	     1.89999997615814
1.70015000541903e-005	    0.243263274431229	     1.69998919963837
1.70035001625515e-005	    0.241330936551094	     1.29996752738953
 1.7007500379274e-005	    0.237488836050034	    0.499924123287201
 1.7015500812719e-005	    0.229894921183586	                    0
1.70315016796089e-005	    0.215068861842155	                    0
1.70635034133888e-005	    0.186869114637375	                    0
1.71275068809487e-005	    0.136317908763886	                    0
1.72555138160683e-005	   0.0588781535625458	                    0
1.75115276863075e-005	 0.000131154185510241	                    0
1.79115463783241e-005	    0.166232541203499	                    0
             1.8e-005	    0.244717419147491	                    0
1.80005000000097e-005	     0.24520306289196	                    0
1.80015000541903e-005	    0.246175795793533	                    0
1.80035001625515e-005	    0.248126894235611	                    0
 1.8007500379274e-005	    0.252051591873169	                    0
 1.8015500812719e-005	    0.259990990161896	                    0
1.80315016796089e-005	    0.276228874921799	                    0
1.80635034133888e-005	    0.310135334730148	                    0
1.81275068809487e-005	     0.38362193107605	                    0
1.82555138160683e-005	    0.552858173847198	                    0
1.85115276863075e-005	     0.97630774974823	                    0
1.89115463783241e-005	     1.84091329574585	                    0
             1.9e-005	     2.06107378005981	                    0
1.90005000000097e-005	       2.062344789505	    0.100000001490116
1.90015000541903e-005	     2.06488752365112	    0.300010830163956
1.90035001625515e-005	     2.06997680664062	    0.700032532215118
 1.9007500379274e-005	     2.08016920089722	     1.50007581710815
 1.9015500812719e-005	     2.10060930252075	                    2
1.90315016796089e-005	      2.1417088508606	                    2
1.90635034133888e-005	     2.22477054595947	                    2
1.91275068809487e-005	     2.39422535896301	                    2
1.92555138160683e-005	     2.74549531936646	                    2
1.95115276863075e-005	     3.48939800262451	                    2
1.99115463783241e-005	     4.72225761413574	                    2
               2e-005	                    5	                    2


